keyword,created_at,user_id,text
coyotes,2024-07-09 17:31:58+00:00,573864292,@NoVive_Socialis Y con la derecha estaba muy gordo el conejo o solo ya los coyotes tienen q cazar ya su comida y eso lloran y solo señalan al conejo 🤔
coyotes,2024-07-09 17:26:09+00:00,14249363,@AnnaNoelleDua Arizona Coyotes
coyotes,2024-07-09 17:20:45+00:00,1735036526160224256,"Otra más de @delfinagomeza , en el #EdoMex están ""certificando"" a Abogados para ejercer a la usanza de #CDMX con la pandemia, el problema que muchos son coyotes y sin título, mientras los que venimos certificados con efirma nos estan bateando bajo amenaza de carcel"
coyotes,2024-07-09 16:57:56+00:00,155416930,"@rkr2mn2 @sebastian_gray @lucialopezchile lamento leer eso, esos malditos coyotes alguna vez lo pagaran."
en busca de asilo,2024-07-09 12:15:39+00:00,1595977277426356225,"@DiarioCoLatino @Ingrydadriana ""Feminicidios Típicos en E. S. "" Si con este nuevo gobierno es Cuabdo más han bajado los homicidios en general; señora, usted está acostumbrada a tirar veneno y vestirse con piel de víctima, lo que busca es asilo en USA, que se lo den en Cuba haber si se va, ud. Es FMLN."
en busca de asilo,2024-07-08 22:24:36+00:00,980066308426379266,"@GatoEncerradoSV @SJHumanitario @FGR_SV SINVERGÜENZA, anda en busca de asilo @USEmbassySV , sin tener justificación alguna.
Ella es una de las más agitadoras encontra del gobierno. Obviamente perdió sus privilegios, ya que su partido @FMLNoficial , perdió todo."
en busca de asilo,2024-07-08 21:34:55+00:00,38293203,🚨¿No hay lugar seguro?🚨 Homicida le pone fin a la vida de un venezolano que llegó a México en busca de asilo https://t.co/fvnowRx2p1
en busca de asilo,2024-07-08 20:01:59+00:00,3169018092,"Allí, 12 sirios murieron de sed en medio del desierto después de que su coche se averiara. Los sirios, entre ellos un niño de 10 años, se encontraban en un viaje a Europa en busca de asilo. https://t.co/nbmjWEtad8"
en busca de asilo,2024-07-08 19:46:42+00:00,980066308426379266,"Perdió todo el @FMLNoficial , por consiguiente ella. 
Hacerce la víctima sin argumentos, indica que podría andar en busca de asilo @USEmbassySV https://t.co/gKmA6OhUX5"
en busca de asilo,2024-07-08 19:43:28+00:00,980066308426379266,"@DiarioCoLatino @Ingrydadriana SINVERGÜENZA, anda en busca de asilo @USEmbassySV , sin tener justificación alguna.
Ella es una de las más agitadoras encontra del gobierno. Obviamente perdió sus privilegios, ya que su partido @FMLNoficial , perdió todo."
en busca de asilo,2024-07-06 19:20:01+00:00,21104432,"El nuevo primer ministro británico, Keir Starmer, anunció la eliminación de un millonario plan que buscaba deportar a Ruanda a las personas que lleguen ilegalmente a Reino Unido en busca de asilo. Prometió realizar cambios.. Más detalles aquí: https://t.co/mcxV8TaGV9"
en busca de asilo,2024-07-05 17:40:26+00:00,1623839886,"La ultraderecha del Partido Popular #ElCierre https://t.co/oy7WFMOxRb a traves de @diario_red_ Demonizar a los migrantes, a los refugiados, a quienes piden asilo,a quienes escapan en busca d vida en otros territorios,se ha vuelto la estrategia habitual, de las derechas en general"
en busca de asilo,2024-07-05 12:24:37+00:00,1020151082503327744,"@MashiRafael Ya vieja senil busca un asilo y deja de escribir tanta guevada o mejor hazle un favor al Ecuador, te metes el dedo en el ojete y haces algo productivo"
en busca de asilo,2024-07-05 08:41:05+00:00,266141904,"🏳️‍🌈 Un tribunal japonés ha ordenado al Gobierno reconocer como refugiado a un gay africano que busca asilo por estar en riesgo de persecución, fallando en contra del criterio de las autoridades migratorias, que han rechazado su solicitud varias veces. https://t.co/E49SI4FeUh"
gratitud,2024-07-09 18:08:56+00:00,1271185202505801729,"Hoy mi corazón está llenito de gratitud!
Las ballenas me regalaron un show espectacular, me aventé del yate en pleno altamar y nade riquísimo, un señor me saco fotos lindas! Que más puedo pedir!? Lit si me sonries a la vida, te sonreira de vuelta ❤️"
gratitud,2024-07-09 18:08:09+00:00,151118275,"Y vivir enamorado es lo más grande e importante para cualquier persona.⁣⁣
⁣⁣
GRATITUD ⁣⁣
⁣Sé agradecido por todo,incluso por las cosas pequeñas e insignificantes. Cuanto más agradecido estés,más situaciones y cosas tendrás que agradecer en tu vida.⁣"
gratitud,2024-07-09 18:07:26+00:00,811170672797974528,"Cuando nos ocurre algo malo, culpamos a Dios, a nuestras circunstancias o a la vida. Pero, estar vivos, es un auténtico regalo.

Los retos nos hacen más fuertes si tenemos gratitud y conexión con nuestro corazón.

¡Aprende a meditar con @heartfulness!

#meditación #daaji https://t.co/6tmWcwW0JO"
gratitud,2024-07-09 18:02:22+00:00,1538888489810501639,LINDO MENSAJE EN ESTOS TIEMPO.. GRATITUD EN TODO ... https://t.co/Nb7tTtbhvn
gratitud,2024-07-09 18:01:50+00:00,268036866,"Gratitud por el día a día aunque la vida se una montaña rusa; aunque no siempre estemos cuesta arriba. 💖

Aprendiendo el verdadero significado de “un día a la vez” con gratitud 🫶🏼✨🙏🏼
@Fonseca https://t.co/m77G59bH0v"
gratitud,2024-07-09 18:00:42+00:00,957037590938636294,Tenemos que lograr que todo argentino sienta una inmensa gratitud por los héroes de Malvinas 🇦🇷 y que ser soldado sea un orgullo. https://t.co/eWPW7f2B5X
gratitud,2024-07-09 17:56:24+00:00,1560366421678473219,Así es como uno muestra gratitud y apoyo a un proyecto en el que participó 💖✨️ https://t.co/i8ymfiUJuF
gratitud,2024-07-09 17:55:43+00:00,423887289,"Con sentimientos de gratitud y cariño nos reunimos para despedir @InkaMattila y @xavierhfpnud quienes finalizan su misión al frente del @PNUDRD
El director @jefreylizardo reconoció el invaluable apoyo de Inka Mattila y cómo ha sido esencial para facilitar que nadie se quede atrás https://t.co/KHGE9wsDQu"
gratitud,2024-07-09 17:52:47+00:00,924369763693924352,"Tiempo, amor y gratitud."
gratitud,2024-07-09 17:50:23+00:00,1283214290,"#LIA 🫳

Título: Un período de 5 años

Reparto: #ITZY, #MIDZY y más...

Género: Juventud, Romance, Crecimiento

Clasificación: ★★★★★

Comentario: ""Una película donde se puede sentir la importancia del tiempo y la gratitud por la vida. Un 'must watch' (머스트 워치)."" https://t.co/f48Ey1TDOD"
México,2024-07-09 18:11:34+00:00,981630540343201792,@c4jimenez @MetroCDMX @SSC_CDMX SexMex lo contratará..del metro a la fama. Mexico surrealista.
México,2024-07-09 18:11:34+00:00,21427450,"Mañana en las redes de la @BRIGADACULTURAL vamos a tener a uno de los enormes cuadros de la 4T el compañero @HLGatell para charlar con @palomasaizt1 sobre el estado del sector salud en México y que retos tenemos, les esperamos en punto de las 9pm por todas las redes sociales ☺️ https://t.co/Awd7XQpj10"
México,2024-07-09 18:11:34+00:00,2886563865,Naranja Dulce: Color Tendencia para 2025 ¡Gracias Marie Claire México! 🧡🍊https://t.co/FlFfnbEQRV
México,2024-07-09 18:11:32+00:00,856315604378112000,@valarrian Added you from México Yorch1985Y
México,2024-07-09 18:11:32+00:00,1428482523009634306,"#UnDíaComoHoy #9julio de 1893: Nació en la Ciudad de México, México, María Herminia Pérez de León (Mimí Derba), fue actriz de cine, teatro, cantante, guionista, productora y directora de cine.
Falleció el 14 de julio de 1953, en Ciudad de México.
🎬🇲🇽 https://t.co/v0MmmxPHHU"
México,2024-07-09 18:11:30+00:00,1510719471815741448,"@EmiDiaz55 @Jovenesfutmx Agarra la mano de tu jefa y botense a la vrga, yo digo lo que quiera, si que no esté en México, que se vaya a otro lado en México los clubes no valen vrga puro interés y si a ti te gusta mamar a los dueños adelante princesa, no era de ahuevo contestarme, al parecer te calo"
México,2024-07-09 18:11:29+00:00,45475300,"Nacho Cano tiene a gente currando , pagándoles como estudiantes becados . Habla de los estudiantes , como si los hubiesen descubierto en la calle y los están formando ,durante meses , para un futurible espectáculo en México.
Cuánto mas hay que tragar para que se una la profesion?"
México,2024-07-09 18:11:29+00:00,131858175,"@RicardoBSalinas Es correcto 👌 
¿Dijiste el México de los MORENACOS?"
México,2024-07-09 18:11:28+00:00,155380498,"@Castro_Mas_Cota Lourdes, Fátima,  Guadalupe (México) y ahora Ferraz...."
México,2024-07-09 18:11:27+00:00,2907093088,"@chayito09 México, un gran país reconocido ampliamente en el exterior, con una clase política en la antípoda"
alivio,2024-07-09 18:10:01+00:00,3377961321,@HernanSCastillo Qué bueno. Qué alivio!! https://t.co/dmWARg0A3g
alivio,2024-07-09 18:10:00+00:00,296075088,"""Aunque no se pueda conocer la magnitud exacta del alivio financiero, parece que el orden del día del próximo año contará con un viento de  cola tan potente como la bajada de los tipos y del euríbor. No es poco"" @scarboval: 'Un euríbor en descenso' https://t.co/Ezw7cjbfh1"
alivio,2024-07-09 18:09:44+00:00,1864696424,@caju_sz Aquele choro de alívio
alivio,2024-07-09 18:08:19+00:00,1731501457646526464,"""Te encanta dormir 
porque dejas de sentir"" 
y dejar de sentir es un alivio"
alivio,2024-07-09 18:07:39+00:00,69292554,"Que alivio. Me tienen las bolas molidas 00000 los comentarios zurdos, y los bobetas que los viralizan. Encapsulados entre ellos son el 2%. https://t.co/xCPQW46ZXd"
alivio,2024-07-09 18:06:40+00:00,2247336807,Que corrió hacia su madre para mostrarle todo su ardor y que ella con un soplo le traería el alivio.
alivio,2024-07-09 18:05:44+00:00,1571519943673257992,Que alívio mds😮‍💨 https://t.co/FieaQuHW21
alivio,2024-07-09 18:04:03+00:00,925349678153117696,"@despoleo la sensacion de anarquia era total, como lo fue la sensacion de alivio cuando en el 76 se terminó..
quienen vivimos los 70s lo sabemos bien.

aunque despues hayan sido unos asesinos hijos de puta,,,"
alivio,2024-07-09 18:02:42+00:00,1549044321856389122,"13/25 ""Esto es un alivio"", añadió, ""ya que durante siete meses Hamás ha estado robando ayuda humanitaria y vendiéndola a la población a precios exorbitantes. Ahora, dijo, los bienes se compran y venden con normalidad""."
alivio,2024-07-09 18:01:30+00:00,358833596,@frobinsonpty Quizás fuiste un instrumento de alivio y de verdad necesitaba el dinero. ¡Qué lindo debe sentirse si lo tomas así!
Tijuana,2024-07-10 00:01:08+00:00,2941834306,solo hay un wey en tijuana que podría considerar mi crush y no se que hacer
Tijuana,2024-07-10 00:00:01+00:00,219752184,"José Fernando Sánchez González, ha recibido tres recomendaciones de la Comisión Estatal de Derechos Humanos de Baja California (CEDHBC), por torturas ejercidas por policías municipales.
https://t.co/BWm1EwmKat"
Tijuana,2024-07-10 00:00:01+00:00,781936225653395460,"Contrata oficinas virtuales BCI en las siguientes ubicaciones: Xalapa, Veracruz, Puebla, Oaxaca, León, Querétaro, Aguascalientes, Morelia, Guadalajara, SLP, Tijuana, Monterrey Matamoros, Cd. Victoria y Reynosa
Llama al 7779588881
https://t.co/244sykRi5u"
Tijuana,2024-07-09 23:59:50+00:00,1275214794681749504,"#Accidente sobre el bulevar Gral. Rodolfo Sánchez Taboada poco antes de ingresar a la Vía Rápida Poniente 🫠

#Tijuana #PonteBuzoCaperuzo 🤿 https://t.co/vo7JOoIZPj"
